order_mode,block_n,block_d,block_v,warps,num_n_blocks,num_v_blocks,triton_online_ms,triton_vs_flat_speedup,max_abs_diff_triton_vs_flat,mean_abs_diff_triton_vs_flat,relative_max_abs_diff_triton
random_segment,8,32,32,4,2,2,0.07406933108965556,2.5858295456999225,8.940696716308594e-08,2.9551301850005984e-08,1.3248674889618664e-07
random_segment,16,64,64,4,1,1,0.06690133114655812,2.8628827181671834,1.1920928955078125e-07,2.4923792807385325e-08,1.7664899852824887e-07
