order_mode,status,block_n,block_d,block_v,block_q,warps,num_n_blocks,num_v_blocks,num_q_blocks,triton_grouped_ms,triton_oneq_repeated_ms,triton_grouped_per_query_ms,grouped_vs_flat_speedup,oneq_repeated_vs_flat_speedup,grouped_vs_oneq_repeated_speedup,max_abs_diff_grouped_vs_flat,mean_abs_diff_grouped_vs_flat,relative_max_abs_diff_grouped,max_abs_diff_oneq_vs_flat,relative_max_abs_diff_oneq,error_type,error
clustered_segment,ok,128,64,64,4,4,8,2,1,0.04310719966888428,0.14991680145263672,0.01077679991722107,2.9693416155664094,0.8538069160165996,3.477767115567239,7.776543498039246e-08,2.087836037389934e-08,5.260205680971738e-07,6.146728992462158e-08,4.157767364600416e-07,,
clustered_segment,ok,128,64,128,4,4,8,1,1,0.042536959648132325,0.14733311653137207,0.010634239912033081,3.009147879072,0.8687795719036,3.463649441570774,7.776543498039246e-08,2.087836037389934e-08,5.260205680971738e-07,7.450580596923828e-08,5.039718017697474e-07,,
clustered_segment,failed,256,64,64,4,4,4,2,1,,,,,,,,,,,,OutOfResources,"out of resource: shared memory, Required: 133120, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
clustered_segment,ok,128,128,64,4,4,8,2,1,0.04274176120758057,0.1496063995361328,0.010685440301895142,2.9947292364884324,0.8555783863806855,3.5002394685972607,7.776543498039246e-08,2.087836037389934e-08,5.260205680971738e-07,6.705522537231445e-08,4.5357462159277265e-07,,
clustered_segment,ok,128,64,64,4,8,8,2,1,0.04636672019958496,0.21753856658935547,0.01159168004989624,2.760600735966966,0.5884014219371615,4.691696234992759,7.776543498039246e-08,2.087836037389934e-08,5.260205680971738e-07,6.705522537231445e-08,4.5357462159277265e-07,,
clustered_segment,ok,64,64,64,4,4,16,2,1,0.04284416198730469,0.14938112258911132,0.010711040496826172,2.9875716076621313,0.8568686570887961,3.486615577482295,8.742790669202805e-08,2.0628021957236342e-08,5.91379411139188e-07,7.078051567077637e-08,4.7877321168126e-07,,
