policy,capture_success,capture_wall_ms,capture_error,python_event_median_ms,graph_event_median_ms,speedup_event,python_wall_median_ms,graph_wall_median_ms,speedup_wall
static_best_average,True,11.022715014405549,,2.242143988609314,2.1367520093917847,1.0493234492137105,2.2619589581154287,2.1416054805740714,1.056197781819785
resource_aware,True,1.5458519337698817,,2.2110239267349243,2.1417760848999023,1.0323319707990195,2.212480001617223,2.507745462935418,0.8822586001321783
