order_mode,block_n,block_d,block_v,warps,num_n_blocks,num_v_blocks,triton_online_ms,triton_vs_flat_speedup,max_abs_diff_triton_vs_flat,mean_abs_diff_triton_vs_flat,relative_max_abs_diff_triton
random_shuffled,64,64,64,4,16,2,0.03076416015625,4.433564300452344,2.9802322387695312e-08,8.372865067940438e-09,2.7274465400022313e-07
random_shuffled,128,64,64,4,8,2,0.028655359745025633,4.759838418215134,2.9802322387695312e-08,8.82427286796883e-09,2.7274465400022313e-07
random_shuffled,256,64,64,4,4,2,0.03106816053390503,4.390182098270645,3.725290298461914e-08,8.83902373516321e-09,3.4093081750027886e-07
random_shuffled,128,128,64,4,8,2,0.032317440509796146,4.2204729103099625,2.9802322387695312e-08,8.764374115344253e-09,2.7274465400022313e-07
random_shuffled,256,128,64,4,4,2,0.032067201137542724,4.253407761317339,2.9802322387695312e-08,9.143249712906254e-09,2.7274465400022313e-07
random_shuffled,128,64,128,4,8,1,0.03000319957733154,4.546011229588977,2.9802322387695312e-08,8.674973628330918e-09,2.7274465400022313e-07
random_shuffled,128,64,64,8,8,2,0.030986239910125734,4.401788748739956,2.9802322387695312e-08,9.297977499045373e-09,2.7274465400022313e-07
