order_mode,status,block_n,block_d,block_v,block_q,warps,num_n_blocks,num_v_blocks,num_q_blocks,triton_grouped_ms,triton_oneq_repeated_ms,triton_grouped_per_query_ms,grouped_vs_flat_speedup,oneq_repeated_vs_flat_speedup,grouped_vs_oneq_repeated_speedup,max_abs_diff_grouped_vs_flat,mean_abs_diff_grouped_vs_flat,relative_max_abs_diff_grouped,max_abs_diff_oneq_vs_flat,relative_max_abs_diff_oneq,error_type,error
random_shuffled,ok,128,64,64,4,4,16,2,1,0.03557440042495728,0.10953023910522461,0.00889360010623932,3.7489251547401197,1.2176159360868077,3.078906117793162,7.916241884231567e-08,1.591068610196089e-08,6.331668089727693e-07,6.51925802230835e-08,5.214314897422806e-07,,
random_shuffled,ok,128,64,128,4,4,16,1,1,0.03161407947540283,0.10561535835266113,0.007903519868850708,4.218555998813265,1.2627497240751406,3.3407696856976212,7.916241884231567e-08,1.591068610196089e-08,6.331668089727693e-07,6.705522537231445e-08,5.363295323063457e-07,,
random_shuffled,failed,256,64,64,4,4,8,2,1,,,,,,,,,,,,OutOfResources,"out of resource: shared memory, Required: 133120, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
random_shuffled,ok,128,128,64,4,4,16,2,1,0.03381759881973267,0.11283136367797851,0.008454399704933167,3.943679305229105,1.1819919592441224,3.33646880961108,7.916241884231567e-08,1.591068610196089e-08,6.331668089727693e-07,7.450580596923828e-08,5.959217025626063e-07,,
random_shuffled,ok,128,64,64,4,8,16,2,1,0.03203072071075439,0.10504768371582031,0.008007680177688598,4.163682916230544,1.2695735869693896,3.2795916353062355,7.916241884231567e-08,1.591068610196089e-08,6.331668089727693e-07,6.798654794692993e-08,5.437785535883783e-07,,
random_shuffled,ok,64,64,64,4,4,32,2,1,0.03090496063232422,0.1062502384185791,0.007726240158081055,4.315351383377255,1.2552043798011785,3.43796711740346,6.891787052154541e-08,1.5734116232124506e-08,5.512275748704108e-07,6.705522537231445e-08,5.363295323063457e-07,,
