block_size,warps,serial_ms,concurrent_ms,grouped_ms,concurrent_vs_serial_speedup,grouped_vs_serial_speedup,grouped_vs_concurrent_speedup,grouped_vs_torch_speedup
128,4,0.13009999990463256,0.29862399101257325,0.017715199291706084,0.43566492920910305,7.343976083043157,16.856936582835015,13.999525758951807
128,8,0.1317020058631897,0.29463040828704834,0.017958800494670867,0.4470075123232933,7.333563614244238,16.405906863015577,13.809629929504338
256,4,0.12805160284042358,0.29742000102996824,0.01788160055875778,0.43054133009541956,7.161081717470106,16.632739337436007,13.869250014520667
256,8,0.12802560329437257,0.29863600730895995,0.01805880069732666,0.42870116181911405,7.089374617957042,16.536868218118638,13.733159414396633
512,4,0.1282412052154541,0.29231359958648684,0.018137599527835845,0.43871104661865507,7.070461833642419,16.116443586587742,13.673495681090037
512,8,0.12657920122146607,0.2924443960189819,0.01787959933280945,0.4328316867909826,7.079532313075411,16.356317083814073,13.870802370504506
1024,4,0.12866560220718384,0.2938240051269531,0.019072000682353974,0.4379002394701925,6.746308599193234,15.40603998608329,13.003585357390728
1024,8,0.13058559894561766,0.29300799369812014,0.017895199358463287,0.4456724790933766,7.2972419211333905,16.373552919350185,13.858710587200799
2048,4,0.1341315984725952,0.29995319843292234,0.017868800461292265,0.44717508989186744,7.506469097528601,16.786420503306122,13.879185082761204
2048,8,0.13099520206451415,0.2969856023788452,0.017523199319839478,0.44108266870598023,7.475529991615375,16.948138120109324,14.152917186099552
4096,4,0.14328320026397706,0.4363259792327881,0.026444798707962035,0.32838567283093817,5.418199693871641,16.499500867874577,9.37819158875029
4096,8,0.12866560220718384,0.290612006187439,0.018739199638366698,0.4427401465450711,6.866120468867489,15.508240042036748,13.234524077615307
