expert_id,tokens,isolated_ms,share_of_sum
0,160,0.06316959857940674,0.3145758493156125
1,64,0.043942400813102724,0.21882706820390047
2,24,0.05057359933853149,0.2518495181644616
3,8,0.04312320053577423,0.2147475643160254
