order_mode,status,block_n,block_d,block_v,block_q,warps,num_n_blocks,num_v_blocks,num_q_blocks,triton_grouped_ms,triton_oneq_repeated_ms,triton_grouped_per_query_ms,grouped_vs_flat_speedup,oneq_repeated_vs_flat_speedup,grouped_vs_oneq_repeated_speedup,max_abs_diff_grouped_vs_flat,mean_abs_diff_grouped_vs_flat,relative_max_abs_diff_grouped,max_abs_diff_oneq_vs_flat,relative_max_abs_diff_oneq,error_type,error
random_shuffled,ok,128,64,64,4,4,4,2,1,0.03176768064498901,0.11394816398620605,0.007941920161247253,3.156516300893456,0.8800071742237472,3.5869210994533236,8.940696716308594e-08,2.420719624751655e-08,3.763978002810688e-07,6.332993507385254e-08,2.666151085324237e-07,,
random_shuffled,ok,128,64,128,4,4,4,1,1,0.032707839012145995,0.11957823753356933,0.008176959753036499,3.0657849869032416,0.8385740069913221,3.655950412656861,8.940696716308594e-08,2.420719624751655e-08,3.763978002810688e-07,7.450580596923828e-08,3.136648335675573e-07,,
random_shuffled,failed,256,64,64,4,4,2,2,1,,,,,,,,,,,,OutOfResources,"out of resource: shared memory, Required: 133120, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
random_shuffled,ok,128,128,64,4,4,4,2,1,0.03635200023651123,0.12363583564758301,0.009088000059127807,2.7584507357251535,0.8110528899025212,3.4010738018043263,8.940696716308594e-08,2.420719624751655e-08,3.763978002810688e-07,7.450580596923828e-08,3.136648335675573e-07,,
random_shuffled,ok,128,64,64,4,8,4,2,1,0.0349183988571167,0.12298368453979493,0.008729599714279175,2.8717010252332438,0.8153536964900284,3.5220310370768817,8.940696716308594e-08,2.4166723733287654e-08,3.763978002810688e-07,6.705522537231445e-08,2.822983502108016e-07,,
random_shuffled,ok,64,64,64,4,4,8,2,1,0.03233792066574097,0.1144217586517334,0.008084480166435242,3.100854963248074,0.8763648014071689,3.5383152749506452,8.940696716308594e-08,2.3229546286529512e-08,3.763978002810688e-07,7.450580596923828e-08,3.136648335675573e-07,,
