run,token_counts,hidden_size,ffn_size,actual_tokens,padded_tokens,padding_overhead,expert_loop_ms,grouped_bmm_ms,grouped_speedup,max_abs_diff_vs_loop,relative_max_abs_diff
balanced_4x64,"64,64,64,64",2048,4096,256,256,1.0,0.22648320198059083,0.18416639566421508,1.2297748520502658,8.0,0.0008635578583765112
skewed_160_64_24_8,"160,64,24,8",2048,4096,256,640,2.5,0.24094719886779786,0.22321679592132568,1.0794313119373034,8.0,0.0008741258741258741
tiny_4x16,"16,16,16,16",2048,4096,64,64,1.0,0.20734519958496095,0.14960360527038574,1.3859639225285785,0.0,0.0
