run,token_counts,total_elements,torch_loop_ms,best_grouped_block,best_grouped_warps,best_grouped_ms,best_serial_block,best_serial_warps,best_serial_ms,best_concurrent_block,best_concurrent_warps,best_concurrent_ms,grouped_vs_serial_speedup,grouped_vs_concurrent_speedup,grouped_vs_torch_speedup,best_grouped_differs_from_best_concurrent,max_abs_diff_vs_torch
balanced_4x64,"64,64,64,64",524288,0.2906131982803345,256,8,0.01721680015325546,2048,8,0.1327232003211975,128,4,0.30497519969940184,7.897773922258432,17.71813620548176,16.879628949249522,true,0.00390625
skewed_160_64_24_8,"160,64,24,8",524288,0.25600399971008303,2048,8,0.013491199910640716,2048,8,0.09981520175933838,2048,8,0.22082560062408446,7.398541450758031,16.368121596798513,18.97562866207095,false,0.00390625
tiny_4x16,"16,16,16,16",131072,0.2480043888092041,2048,8,0.017523199319839478,512,8,0.12657920122146607,4096,8,0.290612006187439,7.475529991615375,16.948138120109324,14.152917186099552,true,0.00390625
