order_mode,selected_tokens,order_span_mean,order_span_p95,monotonic_fraction,torch_flat_total_ms,torch_gather_ms,torch_score_ms,gather_fraction_of_flat,best_triton_fused_ms,best_triton_vs_flat_speedup,best_variant
random_segment,1024,90.55229949951172,212.89996337890625,0.5278592109680176,0.029944961071014405,0.012817280292510986,0.012963839769363404,0.42802794974803393,0.02111488103866577,1.4181922700004281,"block_m=32,block_d=128,block_q=8,warps=4"
random_sorted,1024,7.987292289733887,23.0,1.0,0.029429759979248047,0.012369920015335083,0.012778879404067993,0.4203201121605323,0.0212608003616333,1.3842263451359171,"block_m=16,block_d=64,block_q=8,warps=8"
random_shuffled,1024,2673.689208984375,6188.8994140625,0.4809384047985077,0.029859840869903564,0.013104640245437622,0.0130457603931427,0.4388717375465352,0.02140160083770752,1.3952152970395306,"block_m=32,block_d=64,block_q=8,warps=4"
clustered_segment,1024,7.675464153289795,1.0,1.0,0.02949376106262207,0.013127679824829102,0.01490623950958252,0.4451002297386218,0.02156543970108032,1.3676401442046453,"block_m=16,block_d=128,block_q=8,warps=4"
