shape,full_multistream_ms,full_stream_speedup,full_overlap_ratio,best_chunk_by_speedup,best_chunk_multistream_ms,best_chunk_stream_speedup,best_chunk_overlap_ratio,best_chunk_overhead,absolute_fastest_chunk,absolute_fastest_chunk_ms
compute_4096,0.9213362884521484,1.051189705583879,0.04483913205767864,4,0.9598770904541015,1.0241951130491196,-0.029997327671764884,0.9653839962660591,4,0.9598770904541015
balanced_2048,0.2429952049255371,1.020733210271597,0.011408314997582658,2,0.25150495529174804,1.058917028025642,0.012814117868154673,1.0732809214437133,4,0.2272652816772461
memory_1024,0.597209587097168,1.0177422733020638,0.10602333824763588,4,0.6074691009521485,1.1147417572915288,0.18764336703533524,4.890109408299679,4,0.6074691009521485
