order_mode,status,block_n,block_d,block_v,block_q,warps,triton_grouped_ms,triton_oneq_repeated_ms,grouped_vs_flat_speedup,grouped_vs_oneq_repeated_speedup,relative_max_abs_diff_grouped,error_type,error
clustered_segment,ok,128,64,64,4,4,0.04310719966888428,0.14991680145263672,2.9693416155664094,3.477767115567239,5.260205680971738e-07,,
clustered_segment,ok,128,64,128,4,4,0.042536959648132325,0.14733311653137207,3.009147879072,3.463649441570774,5.260205680971738e-07,,
clustered_segment,failed,256,64,64,4,4,,,,,,OutOfResources,"out of resource: shared memory, Required: 133120, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
clustered_segment,ok,128,128,64,4,4,0.04274176120758057,0.1496063995361328,2.9947292364884324,3.5002394685972607,5.260205680971738e-07,,
clustered_segment,ok,128,64,64,4,8,0.04636672019958496,0.21753856658935547,2.760600735966966,4.691696234992759,5.260205680971738e-07,,
clustered_segment,ok,64,64,64,4,4,0.04284416198730469,0.14938112258911132,2.9875716076621313,3.486615577482295,5.91379411139188e-07,,
random_segment,ok,128,64,64,4,4,0.04581376075744629,0.14833855628967285,2.6861867628547595,3.237860281216115,4.583458359891928e-07,,
random_segment,ok,128,64,128,4,4,0.04278272151947021,0.14856191635131835,2.8764957752218048,3.472474659745723,4.583458359891928e-07,,
random_segment,failed,256,64,64,4,4,,,,,,OutOfResources,"out of resource: shared memory, Required: 133120, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
random_segment,ok,128,128,64,4,4,0.0440934419631958,0.15493120193481447,2.7909891408787546,3.5137016988633696,4.583458359891928e-07,,
random_segment,ok,128,64,64,4,8,0.04128767967224121,0.14954496383666993,2.9806547299383945,3.6220239312022406,4.583458359891928e-07,,
random_segment,ok,64,64,64,4,4,0.03381247997283936,0.12375679969787598,3.6396122911452005,3.6600923622664308,6.875187539837892e-07,,
random_shuffled,ok,128,64,64,4,4,0.046348800659179686,0.16582656860351563,2.8177161265047252,3.5777963236395545,4.2015025336970053e-07,,
random_shuffled,ok,128,64,128,4,4,0.04530496120452881,0.15951871871948242,2.8826371238227333,3.520998903394635,4.2015025336970053e-07,,
random_shuffled,failed,256,64,64,4,4,,,,,,OutOfResources,"out of resource: shared memory, Required: 133120, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
random_shuffled,ok,128,128,64,4,4,0.04448256015777588,0.14749695777893065,2.935931803347294,3.315837875692663,4.2015025336970053e-07,,
random_shuffled,ok,128,64,64,4,8,0.04325376033782959,0.15157055854797363,3.019338943978544,3.5042169134925025,4.2015025336970053e-07,,
random_shuffled,ok,64,64,64,4,4,0.043724799156188966,0.1531289577484131,2.9868121885481127,3.5021077444271955,3.62857037001105e-07,,
random_sorted,ok,128,64,64,4,4,0.04372223854064941,0.14700608253479003,2.808126930780793,3.3622725514869427,3.437591931712007e-07,,
random_sorted,ok,128,64,128,4,4,0.04303167819976807,0.15921152114868165,2.853190966665141,3.699867813882745,3.437591931712007e-07,,
random_sorted,failed,256,64,64,4,4,,,,,,OutOfResources,"out of resource: shared memory, Required: 133120, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
random_sorted,ok,128,128,64,4,4,0.04294655799865723,0.14835712432861328,2.8588459993431443,3.4544590123672267,3.437591931712007e-07,,
random_sorted,ok,128,64,64,4,8,0.047325439453125,0.15034111976623535,2.594325524259073,3.1767506335603186,3.437591931712007e-07,,
random_sorted,ok,64,64,64,4,4,0.04812416076660156,0.15681535720825196,2.551267254622503,3.2585577537402526,3.819546590791119e-07,,
