run,matrix_size,num_elements,gemm_ms,torch_unfused_ms,torch_concurrent_ms,torch_stream_speedup,best_isolated_block,best_isolated_warps,best_isolated_fused_ms,best_isolated_concurrent_ms,best_concurrent_block,best_concurrent_warps,best_concurrent_fused_ms,best_concurrent_concurrent_ms,best_concurrent_overlap,best_stream_speedup_block,best_stream_speedup_warps,best_stream_speedup,best_stream_speedup_concurrent_ms,best_concurrent_differs_from_best_isolated,best_stream_speedup_differs_from_best_concurrent,max_abs_diff_vs_torch
balanced_2048,2048,16777216,0.12925440073013306,0.27210240364074706,0.35404798984527586,1.0806941538597463,2048,8,0.14215680360794067,0.27664639949798586,2048,4,0.14216959476470947,0.22708480358123778,0.16335767157494097,4096,4,1.1999784078988927,0.23740160465240479,true,true,0.0078125
memory_heavy_1024,1024,67108864,0.02109439969062805,1.4640127817789714,1.4439584096272786,1.0015726833038168,256,8,0.5614208221435547,0.5726207733154297,512,4,0.5714431762695312,0.5726037343343099,0.033641481037802956,2048,4,1.1427335899341236,0.5919914881388346,true,true,0.0078125
