variant_id,cold_first_launch_wall_ms,cache_hit_first_launch_wall_ms,steady_event_ms,cold_overhead_ratio,cache_hit_overhead_ratio,cold_process_wall_ms,cache_hit_process_wall_ms,cache_files,cache_bytes
B1024_W8,1375.7589330198243,728.5331434686668,0.1423860013484955,9662.178303979466,5116.606524299763,4126.2234470341355,3719.0632364945486,10,115532
B2048_W8,1319.749110029079,661.0278224688955,0.14254080057144164,9258.746300976603,4637.463938878241,3856.378784053959,3323.5013395315036,10,131045
B4096_W4,1414.8582810303196,608.6772115086205,0.14385280013084412,9835.458744935155,4231.250354216159,4359.649831079878,3383.787418541033,10,227943
B512_W4,1409.7207569284365,740.1684670476243,0.15637000203132628,9015.288985198204,4733.442843463948,4189.325278042816,3545.4639000236057,10,115331
B8192_W8,1391.294922097586,649.4497560779564,0.15305619835853576,9090.091985941419,4243.211075690077,4001.490985043347,3128.739877953194,10,228458
