policy,mode,repeat,event_ms,wall_ms
static_best_average,python_stream,0,2.3429439067840576,2.313212025910616
static_best_average,python_stream,1,2.2973759174346924,2.32825696002692
static_best_average,python_stream,2,2.2373759746551514,2.262672991491854
static_best_average,python_stream,3,2.20633602142334,2.3230790393427014
static_best_average,python_stream,4,2.258687973022461,2.2854249691590667
static_best_average,python_stream,5,2.2625279426574707,2.2204379783943295
static_best_average,python_stream,6,2.2710399627685547,2.254531951621175
static_best_average,python_stream,7,2.291327953338623,2.280808985233307
static_best_average,python_stream,8,2.3034238815307617,2.2651100298389792
static_best_average,python_stream,9,2.2672319412231445,2.2562940139323473
static_best_average,python_stream,10,2.2599680423736572,2.2817690623924136
static_best_average,python_stream,11,2.2147200107574463,2.270538010634482
static_best_average,python_stream,12,2.238208055496216,2.320452011190355
static_best_average,python_stream,13,2.1831040382385254,2.2332509979605675
static_best_average,python_stream,14,2.246079921722412,2.2589820437133312
static_best_average,python_stream,15,2.2646400928497314,2.2897640010342
static_best_average,python_stream,16,2.263808012008667,2.2402870235964656
static_best_average,python_stream,17,2.2613439559936523,2.2416310384869576
static_best_average,python_stream,18,2.2396481037139893,2.2404079791158438
static_best_average,python_stream,19,2.206847906112671,2.287446055561304
static_best_average,python_stream,20,2.257535934448242,2.2498390171676874
static_best_average,python_stream,21,2.2168641090393066,2.331161987967789
static_best_average,python_stream,22,2.2416319847106934,2.278932952322066
static_best_average,python_stream,23,2.2464959621429443,2.209856058470905
static_best_average,python_stream,24,2.242527961730957,2.2414790000766516
static_best_average,python_stream,25,2.2564799785614014,2.1943649044260383
static_best_average,python_stream,26,2.252511978149414,2.2272180067375302
static_best_average,python_stream,27,2.220639944076538,2.2460410837084055
static_best_average,python_stream,28,2.2352640628814697,2.212418941780925
static_best_average,python_stream,29,2.1610240936279297,2.289045020006597
static_best_average,python_stream,30,2.246527910232544,2.2649000165984035
static_best_average,python_stream,31,2.250272035598755,2.1651129936799407
static_best_average,python_stream,32,2.2398080825805664,2.2646130528301
static_best_average,python_stream,33,2.245759963989258,2.273799036629498
static_best_average,python_stream,34,2.238784074783325,2.2718539694324136
static_best_average,python_stream,35,2.2126080989837646,2.2709229961037636
static_best_average,python_stream,36,2.2150719165802,2.2662730189040303
static_best_average,python_stream,37,2.1614720821380615,2.2318209521472454
static_best_average,python_stream,38,2.241760015487671,2.261244924739003
static_best_average,python_stream,39,2.155424118041992,2.166343037970364
static_best_average,python_stream,40,2.25164794921875,2.173944958485663
static_best_average,python_stream,41,2.3064959049224854,2.260509063489735
static_best_average,python_stream,42,2.27728009223938,2.2718700347468257
static_best_average,python_stream,43,2.2370240688323975,2.1610880503430963
static_best_average,python_stream,44,2.2179200649261475,2.2816359996795654
static_best_average,python_stream,45,2.159712076187134,2.228231052868068
static_best_average,python_stream,46,2.2408640384674072,2.2891960106790066
static_best_average,python_stream,47,2.1825599670410156,2.186800935305655
static_best_average,python_stream,48,2.22761607170105,2.2670760517939925
static_best_average,python_stream,49,2.245408058166504,2.1621640771627426
static_best_average,cuda_graph_replay,0,2.1669440269470215,2.1594390273094177
static_best_average,cuda_graph_replay,1,2.138079881668091,2.14537198189646
static_best_average,cuda_graph_replay,2,2.1407361030578613,2.1444829180836678
static_best_average,cuda_graph_replay,3,2.166559934616089,2.1445549791678786
static_best_average,cuda_graph_replay,4,2.137631893157959,2.140277996659279
static_best_average,cuda_graph_replay,5,2.135711908340454,2.1432300563901663
static_best_average,cuda_graph_replay,6,2.137216091156006,2.1576930303126574
static_best_average,cuda_graph_replay,7,2.156831979751587,2.1418390097096562
static_best_average,cuda_graph_replay,8,2.1358718872070312,2.141930046491325
static_best_average,cuda_graph_replay,9,2.1408960819244385,2.1471419604495168
static_best_average,cuda_graph_replay,10,2.1481919288635254,2.159604919143021
static_best_average,cuda_graph_replay,11,2.1372480392456055,2.1466210018843412
static_best_average,cuda_graph_replay,12,2.13590407371521,2.1428620675578713
static_best_average,cuda_graph_replay,13,2.136768102645874,2.141067059710622
static_best_average,cuda_graph_replay,14,2.1367359161376953,2.167537109926343
static_best_average,cuda_graph_replay,15,2.137216091156006,2.1405459847301245
static_best_average,cuda_graph_replay,16,2.13590407371521,2.1391429472714663
static_best_average,cuda_graph_replay,17,2.1354238986968994,2.1385030122473836
static_best_average,cuda_graph_replay,18,2.134752035140991,2.1736290073022246
static_best_average,cuda_graph_replay,19,2.1348800659179688,2.138900919817388
static_best_average,cuda_graph_replay,20,2.1354238986968994,2.139899064786732
static_best_average,cuda_graph_replay,21,2.134495973587036,2.1403470309451222
static_best_average,cuda_graph_replay,22,2.15881609916687,2.1414760267362
static_best_average,cuda_graph_replay,23,2.135711908340454,2.144447062164545
static_best_average,cuda_graph_replay,24,2.1389119625091553,2.141545992344618
static_best_average,cuda_graph_replay,25,2.1343040466308594,2.1461310097947717
static_best_average,cuda_graph_replay,26,2.1712639331817627,2.141664968803525
static_best_average,cuda_graph_replay,27,2.1360321044921875,2.1418159594759345
static_best_average,cuda_graph_replay,28,2.1319680213928223,2.1419990807771683
static_best_average,cuda_graph_replay,29,2.1367359161376953,2.139780088327825
static_best_average,cuda_graph_replay,30,2.173952102661133,2.1400830009952188
static_best_average,cuda_graph_replay,31,2.1351358890533447,2.13995308149606
static_best_average,cuda_graph_replay,32,2.1370880603790283,2.140576019883156
static_best_average,cuda_graph_replay,33,2.1346240043640137,2.167496015317738
static_best_average,cuda_graph_replay,34,2.139039993286133,2.1395329385995865
static_best_average,cuda_graph_replay,35,2.139296054840088,2.1388359600678086
static_best_average,cuda_graph_replay,36,2.136320114135742,2.1394110517576337
static_best_average,cuda_graph_replay,37,2.1343040466308594,2.157844020985067
static_best_average,cuda_graph_replay,38,2.1364800930023193,2.140803961083293
static_best_average,cuda_graph_replay,39,2.138047933578491,2.1383239654824138
static_best_average,cuda_graph_replay,40,2.137631893157959,2.136633964255452
static_best_average,cuda_graph_replay,41,2.1358718872070312,2.177232992835343
static_best_average,cuda_graph_replay,42,2.14630389213562,2.1380139514803886
static_best_average,cuda_graph_replay,43,2.1354238986968994,2.1424670703709126
static_best_average,cuda_graph_replay,44,2.136512041091919,2.140125958248973
