order_mode,selected_tokens,key_dim,value_dim,order_span_mean,order_span_p95,monotonic_fraction,torch_flat_total_ms,torch_gather_k_ms,torch_gather_v_ms,torch_score_softmax_ms,torch_value_ms,best_triton_online_ms,best_triton_vs_flat_speedup,best_variant,max_relative_diff
random_segment,1024,128,128,87.9775161743164,209.0,0.5063538551330566,0.13299712181091308,0.013332480192184448,0.013066240549087525,0.06371327877044677,0.030989439487457277,0.028590080738067628,4.651862407433768,"block_n=128,block_d=64,block_v=128,warps=4,n_blocks=8,v_blocks=1",2.3865157225019524e-07
random_sorted,1024,128,128,7.999022483825684,22.0,1.0,0.13189120292663575,0.01294335961341858,0.013086719512939453,0.06296063899993896,0.03131776094436645,0.043622398376464845,3.0234743580213985,"block_n=128,block_d=64,block_v=64,warps=8,n_blocks=8,v_blocks=2",2.7274465400022313e-07
random_shuffled,1024,128,128,2675.664794921875,6423.89990234375,0.49364614486694336,0.13639488220214843,0.013537280559539795,0.013295999765396117,0.06465536117553711,0.03149696111679077,0.028655359745025633,4.759838418215134,"block_n=128,block_d=64,block_v=64,warps=4,n_blocks=8,v_blocks=2",2.7274465400022313e-07
clustered_segment,1024,128,128,7.9169111251831055,1.0,1.0,0.12339200019836426,0.012083200216293334,0.011779199838638305,0.05834752082824707,0.02994175910949707,0.04130815982818604,2.9871095858927483,"block_n=128,block_d=64,block_v=64,warps=8,n_blocks=8,v_blocks=2",2.457374383936242e-07
