selector,orders,near_best_count,mean_regret_pct,max_regret_pct,fallback_count,invalid_selected_count
global_mean_latency,4,3,3.46678340168749,12.055920216251593,0,0
order_aware_rule_table,4,4,0.0,0.0,0,0
