run,segment_counts_summary,selected_tokens,selection_fraction,torch_segment_loop_ms,torch_flat_total_ms,torch_gather_ms,torch_score_ms,triton_fused_ms,triton_vs_segment_speedup,triton_vs_flat_speedup,flat_vs_segment_speedup,gather_fraction_of_flat,max_abs_diff_triton_vs_flat
balanced_random,32x32,1024,0.125,1.4908006286621094,0.028897280693054198,0.012595200538635254,0.013397760391235351,0.023159680366516115,64.3705182916723,1.2477409116074596,51.58965109891606,0.43586109961075536,0.0
skewed_random,hot_segments_1088_total,1088,0.1328125,1.3370329284667968,0.029344000816345216,0.012718080282211304,0.0130457603931427,0.02170559883117676,61.59852759032634,1.3519092951352747,45.56409798496331,0.4334133018128554,0.0
tiny_random,32x4,128,0.015625,1.1966668701171874,0.02640064001083374,0.01218559980392456,0.012285439968109131,0.022901759147644044,52.252181258324484,1.1527778211548274,45.32719167513077,0.46156456051535455,0.0
