order_mode,selected_tokens,key_dim,value_dim,order_span_mean,order_span_p95,monotonic_fraction,torch_flat_total_ms,torch_gather_k_ms,torch_gather_v_ms,torch_score_softmax_ms,torch_value_ms,best_triton_ssv_ms,best_triton_vs_flat_speedup,best_variant,max_relative_diff
random_segment,256,128,128,95.07058715820312,228.60000610351562,0.5490196347236633,0.14022656440734863,0.013824000358581542,0.013680640459060669,0.06414336204528809,0.03260672092437744,0.02066431999206543,6.7859268759481095,"block_n=256,block_d=64,block_v=64,warps=8",0.0008276183832702126
random_sorted,256,128,128,15.921568870544434,47.20001220703125,1.0,0.12497407913208008,0.012718080282211304,0.01284160017967224,0.05996543884277344,0.02979583978652954,0.02160640001296997,5.784123179107125,"block_n=256,block_d=64,block_v=32,warps=4",0.0008276699707777405
random_shuffled,256,128,128,1312.0157470703125,3277.5,0.48627451062202454,0.128471040725708,0.013455359935760499,0.01316864013671875,0.06281216144561767,0.030904319286346436,0.020989439487457275,6.120746616529653,"block_n=256,block_d=64,block_v=128,warps=4",0.000827670056172611
clustered_segment,256,128,128,15.101961135864258,92.40011596679688,1.0,0.12857343673706054,0.013209600448608399,0.013025280237197876,0.06219776153564453,0.03067903995513916,0.021422080993652344,6.001911615176817,"block_n=256,block_d=64,block_v=128,warps=4",0.000444030598851281
