variant_id,block_n,block_d,block_v,block_q,warps,shared_proxy,shared_limit,static_feasible,observed_failures,observed_ok,mean_latency_ms,min_latency_ms,max_latency_ms
N128 D128 V64 Q4 W4,128,128,64,4,4,98304,101376,True,0,4,0.04356608033180237,0.04274176120758057,0.04448256015777588
N128 D64 V128 Q4 W4,128,64,128,4,4,98304,101376,True,0,4,0.043414080142974855,0.042536959648132325,0.04530496120452881
N128 D64 V64 Q4 W4,128,64,64,4,4,65536,101376,True,0,4,0.044747999906539916,0.04310719966888428,0.046348800659179686
N128 D64 V64 Q4 W8,128,64,64,4,8,65536,101376,True,0,4,0.04455839991569519,0.04128767967224121,0.047325439453125
N256 D64 V64 Q4 W4,256,64,64,4,4,131072,101376,False,4,0,nan,nan,nan
N64 D64 V64 Q4 W4,64,64,64,4,4,32768,101376,True,0,4,0.04212640047073364,0.03381247997283936,0.04812416076660156
