order_mode,selected_tokens,query_count,key_dim,value_dim,torch_flat_total_ms,torch_score_softmax_ms,torch_value_ms,best_triton_grouped_ms,best_triton_grouped_per_query_ms,best_triton_vs_flat_speedup,best_oneq_repeated_ms,best_grouped_vs_best_oneq_repeated_speedup,best_variant,best_oneq_variant,order_span_mean,order_span_p95,monotonic_fraction,max_relative_diff_grouped,failed_variant_count
clustered_segment,1024,4,128,128,0.12800000190734864,0.0661075210571289,0.03043328046798706,0.042536959648132325,0.010634239912033081,3.009147879072,0.14733311653137207,3.463649441570774,N128 D64 V128 Q4 W4,N128 D64 V128 Q1 W4,7.8279571533203125,1.0,1.0,5.260205680971738e-07,1
random_segment,1024,4,128,128,0.12306431770324706,0.06606847763061524,0.03014656066894531,0.03381247997283936,0.00845311999320984,3.6396122911452005,0.12375679969787598,3.6600923622664308,N64 D64 V64 Q4 W4,N64 D64 V64 Q1 W4,92.69012451171875,212.0,0.5200390815734863,6.875187539837892e-07,1
random_shuffled,1024,4,128,128,0.13059776306152343,0.06537216186523437,0.02920831918716431,0.04325376033782959,0.010813440084457398,3.019338943978544,0.14749695777893065,3.4100378008043455,N128 D64 V64 Q4 W8,N128 D128 V64 Q1 W4,2767.726318359375,6324.39990234375,0.5112414360046387,4.2015025336970053e-07,1
random_sorted,1024,4,128,128,0.12277759552001953,0.06459392070770263,0.028590080738067628,0.04294655799865723,0.010736639499664307,2.8588459993431443,0.14700608253479003,3.4230003377543397,N128 D128 V64 Q4 W4,N128 D64 V64 Q1 W4,7.995112419128418,22.0,1.0,3.437591931712007e-07,1
