load_class,shape_label,n_elements,variant_id,block_size,warps,isolated_ms,background_only_ms,step_ms,overlap_ratio
idle,small,8388608,B512_W4,512,4,0.023831332723299663,0.0,0.109333336353302,0.0
compute,small,8388608,B512_W4,512,4,0.023831332723299663,0.11289667089780171,0.1827873388926188,-0.3368683375145034
memory,small,8388608,B512_W4,512,4,0.023831332723299663,0.42510934670766193,0.4924960136413574,-0.09701801642391317
idle,small,8388608,B512_W8,512,8,0.023615332941214245,0.0,0.11116866270701091,0.0
compute,small,8388608,B512_W8,512,8,0.023615332941214245,0.11289667089780171,0.29949865738550824,-1.1939364229001939
memory,small,8388608,B512_W8,512,8,0.023615332941214245,0.42510934670766193,0.49269266923268634,-0.09798433555786312
idle,small,8388608,B1024_W4,1024,4,0.023762000103791554,0.0,0.1106773316860199,0.0
compute,small,8388608,B1024_W4,1024,4,0.023762000103791554,0.11289667089780171,0.17777534325917563,-0.30087130188104205
memory,small,8388608,B1024_W4,1024,4,0.023762000103791554,0.42510934670766193,0.49003132184346515,-0.09169659708598155
idle,small,8388608,B1024_W8,1024,8,0.023381332556406658,0.0,0.10344333449999492,0.0
compute,small,8388608,B1024_W8,1024,8,0.023381332556406658,0.11289667089780171,0.1829973260561625,-0.3428236503160438
memory,small,8388608,B1024_W8,1024,8,0.023381332556406658,0.42510934670766193,0.542527993520101,-0.20967506930208413
idle,small,8388608,B2048_W4,2048,4,0.024893999099731445,0.0,0.1042126715183258,0.0
compute,small,8388608,B2048_W4,2048,4,0.024893999099731445,0.11289667089780171,0.1917873422304789,-0.3918746620065965
memory,small,8388608,B2048_W4,2048,4,0.024893999099731445,0.42510934670766193,0.5444053411483765,-0.20978065212294728
idle,small,8388608,B2048_W8,2048,8,0.022064000368118286,0.0,0.09947266181310017,0.0
compute,small,8388608,B2048_W8,2048,8,0.022064000368118286,0.11289667089780171,0.18387399117151895,-0.3624264717031713
memory,small,8388608,B2048_W8,2048,8,0.022064000368118286,0.42510934670766193,0.5363899866739908,-0.19951242662745616
idle,small,8388608,B4096_W4,4096,4,0.023210667073726654,0.0,0.10515200098355611,0.0
compute,small,8388608,B4096_W4,4096,4,0.023210667073726654,0.11289667089780171,0.1879253387451172,-0.38071423294185935
memory,small,8388608,B4096_W4,4096,4,0.023210667073726654,0.42510934670766193,0.5341013272603353,-0.19133946922292822
idle,small,8388608,B4096_W8,4096,8,0.02197333425283432,0.0,0.10357333223025005,0.0
compute,small,8388608,B4096_W8,4096,8,0.02197333425283432,0.11289667089780171,0.2015786568323771,-0.49461443711842623
memory,small,8388608,B4096_W8,4096,8,0.02197333425283432,0.42510934670766193,0.5600639979044596,-0.25270788101484576
idle,small,8388608,B8192_W4,8192,4,0.021930667261282604,0.0,0.10523733496665955,0.0
compute,small,8388608,B8192_W4,8192,4,0.021930667261282604,0.11289667089780171,0.17461333672205606,-0.29508851176775286
memory,small,8388608,B8192_W4,8192,4,0.021930667261282604,0.42510934670766193,0.5641173521677653,-0.2618945386104832
idle,small,8388608,B8192_W8,8192,8,0.021930667261282604,0.0,0.10099466641743977,0.0
compute,small,8388608,B8192_W8,8192,8,0.021930667261282604,0.11289667089780171,0.1717546582221985,-0.2738859979534951
memory,small,8388608,B8192_W8,8192,8,0.021930667261282604,0.42510934670766193,0.5438079833984375,-0.21646377596126176
idle,large,16777216,B512_W4,512,4,0.17216000954310098,0.0,0.1520853340625763,0.0
compute,large,16777216,B512_W4,512,4,0.17216000954310098,0.11289667089780171,0.2456106742223104,0.13837951861917575
memory,large,16777216,B512_W4,512,4,0.17216000954310098,0.42510934670766193,0.6161566575368246,-0.03162275293114458
idle,large,16777216,B512_W8,512,8,0.15293866395950317,0.0,0.15938133001327515,0.0
compute,large,16777216,B512_W8,512,8,0.15293866395950317,0.11289667089780171,0.24800199270248413,0.06708416758965974
memory,large,16777216,B512_W8,512,8,0.15293866395950317,0.42510934670766193,0.6512426535288492,-0.12662381240133525
