order_mode,status,block_n,block_d,block_v,block_q,warps,num_n_blocks,num_v_blocks,num_q_blocks,triton_grouped_ms,triton_oneq_repeated_ms,triton_grouped_per_query_ms,grouped_vs_flat_speedup,oneq_repeated_vs_flat_speedup,grouped_vs_oneq_repeated_speedup,max_abs_diff_grouped_vs_flat,mean_abs_diff_grouped_vs_flat,relative_max_abs_diff_grouped,max_abs_diff_oneq_vs_flat,relative_max_abs_diff_oneq,error_type,error
random_segment,ok,128,64,64,4,4,8,2,1,0.046325759887695314,0.09103360176086425,0.023162879943847657,3.118037107975777,1.586726610734933,1.9650751975046152,8.940696716308594e-08,2.06335926122847e-08,4.583458359891928e-07,5.587935447692871e-08,2.864661474932455e-07,,
random_segment,ok,128,64,128,4,4,8,1,1,0.04425343990325928,0.081014404296875,0.02212671995162964,3.2640499518404966,1.7829599518586043,1.8306916812337624,8.940696716308594e-08,2.06335926122847e-08,4.583458359891928e-07,5.587935447692871e-08,2.864661474932455e-07,,
random_segment,failed,256,64,64,4,4,4,2,1,,,,,,,,,,,,OutOfResources,"out of resource: shared memory, Required: 133120, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
random_segment,ok,128,128,64,4,4,8,2,1,0.04460095882415772,0.07979392051696778,0.02230047941207886,3.2386173345397262,1.8102311234888397,1.7890628950727423,8.940696716308594e-08,2.06335926122847e-08,4.583458359891928e-07,6.332993507385254e-08,3.2466163382567823e-07,,
random_segment,ok,128,64,64,4,8,8,2,1,0.050135040283203126,0.078090238571167,0.025067520141601563,2.881127402492657,1.8497246394422322,1.557598001917429,8.940696716308594e-08,2.06335926122847e-08,4.583458359891928e-07,5.21540641784668e-08,2.673684043270291e-07,,
random_segment,ok,64,64,64,4,4,16,2,1,0.04995071887969971,0.06659776210784912,0.024975359439849854,2.8917589501141956,2.1689233063281206,1.333269342293988,1.341104507446289e-07,2.0840190018134308e-08,6.875187539837892e-07,7.450580596923828e-08,3.8195486332432734e-07,,
