block_size,warps,fused_ms,serial_ms,concurrent_ms,stream_speedup,overlap_ratio,nominal_fused_gbps
128,4,0.5886293411254883,0.5905237197875977,0.5904895782470703,1.0000578190399714,0.0315457005877795,912.0695733132779
128,8,0.5904383977254232,0.6108501434326172,0.6055423736572265,1.0087653152054974,0.009795752221526732,909.2750642035071
256,4,0.6033066431681315,0.597332255045573,0.5733887990315755,1.0417578021308347,0.08169788377295073,889.8806570084179
256,8,0.5614208221435547,0.5966293334960937,0.5726207733154297,1.0419275047282275,0.01698573384502844,956.2718211094826
512,4,0.5714431762695312,0.5905749638875325,0.5726037343343099,1.0313851071441498,0.033641481037802956,939.5000838137148
512,8,0.6689594904581706,0.7259477615356446,0.7421141306559245,0.9782157912745967,-0.0754437316423211,802.5462223912795
1024,4,0.6696677525838216,0.7149738947550456,0.7229098637898763,0.9890221873675562,-0.046539480209758066,801.6974237277468
1024,8,0.6977706909179687,0.7000234603881836,0.7052005132039388,0.9926587506406734,0.01900854219126069,769.4088029030092
2048,4,0.639300282796224,0.6764885584513346,0.5919914881388346,1.1427335899341236,0.10357926276818452,839.7789371401338
2048,8,0.5871162414550781,0.611072031656901,0.6056447982788086,1.0089610831192082,0.004218674737528905,914.4201336850216
4096,4,0.6081706364949544,0.6175914764404297,0.5970944086710612,1.034328018269319,0.051124130000182455,882.7636189312374
4096,8,0.6159701029459635,0.6536730448404948,0.5954015731811524,1.0978691933042863,0.06539829057028079,871.58599002182
8192,4,0.589465586344401,0.6178474426269531,0.6015535990397135,1.0270862706386434,0.014751027255819782,910.7756660222195
8192,8,0.6219776153564454,0.6473898569742839,0.6099456151326498,1.061389476229763,0.051512737515095885,863.1675782935177
