metric,value
status,ok
device,cuda
matrix_size,1024
vector_rows,262144
vector_cols,256
warmup,20
iters,100
isolated_ms.compute_gemm,0.020835840702056886
isolated_ms.elementwise,0.48244735717773435
isolated_ms.reduction,0.15741951942443846
sum_isolated_ms,0.6607027173042297
serial_ms,0.6510182189941406
multistream_ms,0.6699136352539062
cuda_graph_serial_ms,0.6785638427734375
overlap_ratio,-0.013941092882527428
serial_speedup,0.9717942503848216
graph_speedup,0.9594059953641031
finite_outputs,True
