order_mode,status,block_n,block_d,block_v,block_q,warps,num_n_blocks,num_v_blocks,num_q_blocks,triton_grouped_ms,triton_oneq_repeated_ms,triton_grouped_per_query_ms,grouped_vs_flat_speedup,oneq_repeated_vs_flat_speedup,grouped_vs_oneq_repeated_speedup,max_abs_diff_grouped_vs_flat,mean_abs_diff_grouped_vs_flat,relative_max_abs_diff_grouped,max_abs_diff_oneq_vs_flat,relative_max_abs_diff_oneq,error_type,error
random_shuffled,ok,128,64,64,4,4,8,2,2,0.04443840026855469,0.28999679565429687,0.005554800033569336,3.4205228486616313,0.524152562215769,6.525815373680388,8.195638656616211e-08,1.9573661802496645e-08,3.677823220812895e-07,9.313225746154785e-08,4.179344569105563e-07,,
random_shuffled,ok,128,64,128,4,4,8,1,2,0.043807358741760255,0.2966348838806152,0.005475919842720032,3.46979520889633,0.5124230889099949,6.771348293998879,8.195638656616211e-08,1.9573661802496645e-08,3.677823220812895e-07,1.0244548320770264e-07,4.597279026016119e-07,,
random_shuffled,failed,256,64,64,4,4,4,2,2,,,,,,,,,,,,OutOfResources,"out of resource: shared memory, Required: 133120, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
random_shuffled,ok,128,128,64,4,4,8,2,2,0.04476736068725586,0.29640703201293944,0.005595920085906983,3.395388093983253,0.5128169950769823,6.621052201036258,8.195638656616211e-08,1.9573661802496645e-08,3.677823220812895e-07,9.313225746154785e-08,4.179344569105563e-07,,
random_shuffled,ok,128,64,64,4,8,8,2,2,0.04472832202911377,0.3016499137878418,0.005591040253639221,3.3983515719106046,0.5039038850296833,6.744047174215415,8.195638656616211e-08,1.95645526446242e-08,3.677823220812895e-07,8.381903171539307e-08,3.7614101121950064e-07,,
random_shuffled,ok,64,64,64,4,4,16,2,2,0.04413440227508545,0.29132415771484377,0.005516800284385681,3.44408342791515,0.5217643626566213,6.600840675241245,8.381903171539307e-08,1.9229858594371763e-08,3.7614101121950064e-07,1.0244548320770264e-07,4.597279026016119e-07,,
