block_m,block_n,block_k,warps,row_tiles,triton_no_pad_ms,triton_vs_loop_speedup,triton_vs_bmm_speedup
16,32,64,4,17,0.26562559604644775,0.9113338889315237,0.8036815785092107
16,64,64,4,17,0.2257920026779175,1.0721088637938638,0.9454648339674668
32,32,64,4,9,0.1633792042732239,1.4816671957829854,1.306643640925395
32,64,64,4,9,0.18050559759140014,1.3410864298664629,1.1826691314376718
