run,n_elements,block_size,num_warps,fused_ms,serial_ms,concurrent_ms,stream_speedup,overlap_ratio,nominal_fused_gbps,reqntid,num_ctas,num_stages,shared_bytes,reg_pred_decl,reg_b16_decl,reg_b32_decl,reg_b64_decl,ptx_bytes,cubin_bytes,arch,triton_version,cache_key
memory_heavy_1024,67108864,256,8,0.5614208221435547,0.5966293334960937,0.5726207733154297,1.0419275047282275,0.01698573384502844,956.2718211094826,256,1,3,0,2,6,24,10,7648,6888,sm89,3.6.0,WEQNNNOPSQVZGJPJZGWKQIWZAWH34IFEE4XJ4DZCIS4C5WSGJDUQ
memory_heavy_1024,67108864,512,4,0.5714431762695312,0.5905749638875325,0.5726037343343099,1.0313851071441498,0.033641481037802956,939.5000838137148,128,1,3,0,2,13,85,10,11046,10344,sm89,3.6.0,R6SXCQN6HATZBCMEOKBO7F6MN7LQL5KUXSZWX6DMKWEM5ZM5TEXQ
memory_heavy_1024,67108864,512,8,0.6689594904581706,0.7259477615356446,0.7421141306559245,0.9782157912745967,-0.0754437316423211,802.5462223912795,256,1,3,0,2,7,47,10,8328,7912,sm89,3.6.0,JIOTWVWH7EUA6X7MKXPFZNXCG3K44PAQD5TUKCINFC5RPILWAF4Q
memory_heavy_1024,67108864,1024,4,0.6696677525838216,0.7149738947550456,0.7229098637898763,0.9890221873675562,-0.046539480209758066,801.6974237277468,128,1,3,0,2,25,161,10,16609,15336,sm89,3.6.0,5UOSBWTPVCZ3UG4KB6FWTN5S4J5D6LTWW5MZRCG2IBNJCVDSENDA
memory_heavy_1024,67108864,1024,8,0.6977706909179687,0.7000234603881836,0.7052005132039388,0.9926587506406734,0.01900854219126069,769.4088029030092,256,1,3,0,2,13,85,10,11048,10344,sm89,3.6.0,G5JF3KRN6MIZ6D7X7JXYRI4H3PGVMER66PWNUYIUQLJVFZQHAIOA
memory_heavy_1024,67108864,2048,4,0.639300282796224,0.6764885584513346,0.5919914881388346,1.1427335899341236,0.10357926276818452,839.7789371401338,128,1,3,0,2,49,313,14,28252,25448,sm89,3.6.0,UNMEXMERRV2ISJXU2TEPIXLJKRKJP4GKXAT5X6E7C263OAA6H27Q
memory_heavy_1024,67108864,2048,8,0.5871162414550781,0.611072031656901,0.6056447982788086,1.0089610831192082,0.004218674737528905,914.4201336850216,256,1,3,0,2,25,161,10,16609,15336,sm89,3.6.0,DKIFWJYNO6LYOFQMARIVTIGBQWPYL5PR7C76LLJSLP5FYFUUZF7Q
memory_heavy_1024,67108864,4096,4,0.6081706364949544,0.6175914764404297,0.5970944086710612,1.034328018269319,0.051124130000182455,882.7636189312374,128,1,3,0,2,97,617,22,51535,45288,sm89,3.6.0,G6AWKJPIDECVMZZVX47UQ57WUP4PQF2TTIKMH5V6DYGZJI5MEJZA
memory_heavy_1024,67108864,4096,8,0.6159701029459635,0.6536730448404948,0.5954015731811524,1.0978691933042863,0.06539829057028079,871.58599002182,256,1,3,0,2,49,313,14,28252,25448,sm89,3.6.0,RQYMTLJBLAGMMUJ4HBPFJ7JD5DQB7LTMTYORNXP367DWBCNKWTFQ
memory_heavy_1024,67108864,8192,4,0.589465586344401,0.6178474426269531,0.6015535990397135,1.0270862706386434,0.014751027255819782,910.7756660222195,128,1,3,0,2,193,1227,39,98957,87016,sm89,3.6.0,RBG2EENDGE4E3N5F5IHICHTUW2LTRZZ4H6FN624SSPFLRWPGWALQ
memory_heavy_1024,67108864,8192,8,0.6219776153564454,0.6473898569742839,0.6099456151326498,1.061389476229763,0.051512737515095885,863.1675782935177,256,1,3,0,2,97,619,23,51631,45800,sm89,3.6.0,SB63Y42IP3XOUVCLWORQHAEHV7UNFWXPGZRTLQLU5KSKGODSCHJA
