order_mode,status,block_n,block_d,block_v,block_q,warps,num_n_blocks,num_v_blocks,num_q_blocks,triton_grouped_ms,triton_oneq_repeated_ms,triton_grouped_per_query_ms,grouped_vs_flat_speedup,oneq_repeated_vs_flat_speedup,grouped_vs_oneq_repeated_speedup,max_abs_diff_grouped_vs_flat,mean_abs_diff_grouped_vs_flat,relative_max_abs_diff_grouped,max_abs_diff_oneq_vs_flat,relative_max_abs_diff_oneq,error_type,error
random_sorted,ok,128,64,64,4,4,4,2,1,0.03556735992431641,0.1173299217224121,0.008891839981079102,2.9923885402578567,0.907111832023158,3.298808850926181,1.1920928955078125e-07,2.3359689294011332e-08,5.018637337080918e-07,7.450580596923828e-08,3.136648335675573e-07,,
random_sorted,ok,128,64,128,4,4,4,1,1,0.030595200061798097,0.10661888122558594,0.007648800015449524,3.478694698180573,0.9982412028837725,3.4848237962239326,1.1920928955078125e-07,2.3359689294011332e-08,5.018637337080918e-07,7.82310962677002e-08,3.293480752459352e-07,,
random_sorted,failed,256,64,64,4,4,2,2,1,,,,,,,,,,,,OutOfResources,"out of resource: shared memory, Required: 133120, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
random_sorted,ok,128,128,64,4,4,4,2,1,0.031454079151153565,0.10981760025024415,0.007863519787788391,3.3837061238795685,0.9691648697678982,3.4913627489303445,1.1920928955078125e-07,2.3359689294011332e-08,5.018637337080918e-07,8.940696716308594e-08,3.763978002810688e-07,,
random_sorted,ok,128,64,64,4,8,4,2,1,0.031048319339752196,0.10803456306457519,0.007762079834938049,3.427926615933873,0.9851602785780145,3.4795623519065955,1.1920928955078125e-07,2.3361963030765764e-08,5.018637337080918e-07,9.313225746154785e-08,3.920810419594466e-07,,
random_sorted,ok,64,64,64,4,4,8,2,1,0.030266880989074707,0.10669631958007812,0.007566720247268677,3.5164297333170538,0.9975166965798826,3.525183834389536,1.043081283569336e-07,2.264310694499727e-08,4.391307669945802e-07,1.043081283569336e-07,4.391307669945802e-07,,
