block_m,block_n,block_k,warps,row_tiles,triton_no_pad_ms,triton_vs_loop_speedup,triton_vs_bmm_speedup
16,32,64,4,16,0.23802878856658935,0.9197677282589305,0.8042590330932041
16,64,64,4,16,0.18242160081863404,1.20013856438954,1.049419599881929
32,32,64,4,8,0.1708799958229065,1.2811985221898596,1.1202996724046603
32,64,64,4,8,0.17594879865646362,1.2442892465982436,1.0880256347455277
