block_size,warps,fused_ms,serial_ms,concurrent_ms,stream_speedup,overlap_ratio,nominal_fused_gbps
128,4,0.14899120330810547,0.2607872009277344,0.23847360610961915,1.0935684044122616,0.14293845922954307,900.8433049731483
128,8,0.1562880039215088,0.2816243886947632,0.26087799072265627,1.0795252904035233,0.08637741199621762,858.784581236363
256,4,0.15750399827957154,0.2750335931777954,0.25573561191558836,1.0754606725189952,0.10818440611068669,852.1544180850691
256,8,0.16330000162124633,0.2857215881347656,0.2581912040710449,1.1066278929321904,0.11745917341917755,821.9089201927935
512,4,0.1647871971130371,0.27891199588775634,0.24673199653625488,1.1304249136847273,0.1608942464397446,814.491236888581
512,8,0.1529088020324707,0.28961279392242434,0.2602751970291138,1.1127176051663075,0.07757214803060386,877.763256372242
1024,4,0.15910400152206422,0.27974400520324705,0.2500355958938599,1.1188167196881775,0.13289991225856634,843.5848672315572
1024,8,0.15897599458694459,0.27866759300231936,0.24140799045562744,1.1543428719006734,0.1624478390280164,844.2641189239159
2048,4,0.14216959476470947,0.2514143943786621,0.22708480358123778,1.1071387887420683,0.16335767157494097,944.0677398154662
2048,8,0.14215680360794067,0.2814464092254639,0.27664639949798586,1.017350703772716,-0.019288795290083538,944.1526862841112
4096,4,0.15381759405136108,0.28487679958343504,0.23740160465240479,1.1999784078988927,0.1613384261637848,872.5772160705068
4096,8,0.15623680353164673,0.2847104072570801,0.26502399444580077,1.0742816243957312,0.07169120978316268,859.0660136797625
8192,4,0.1501091957092285,0.2772864103317261,0.25558838844299314,1.084894396106623,0.08510488946804873,894.1339493950035
8192,8,0.14264320135116576,0.2510972023010254,0.2561280012130737,0.9803582627115291,0.05799830799357286,940.9332287038095
