block_size,warps,add_ms,serial_ms,concurrent_ms,stream_speedup,overlap_ratio
128,4,0.10391584396362305,0.21967872619628906,0.22151968002319336,0.9916894344253677,-0.022438291166890778
128,8,0.12505087852478028,0.23557088851928712,0.2229737663269043,1.056495983361173,0.06232097045563345
256,4,0.10460160255432129,0.21388288497924804,0.1882419204711914,1.1362128289165045,0.1338986940422121
256,8,0.10360832214355468,0.20893695831298828,0.19400672912597655,1.0769572749062581,0.10327670123847654
512,4,0.11891936302185059,0.2245631980895996,0.20383743286132813,1.1016779152746263,0.12010754710208049
512,8,0.10667008399963379,0.20781280517578124,0.1916854476928711,1.0841344905261159,0.12636943798048828
1024,4,0.10441503524780274,0.23492895126342772,0.20453376770019532,1.1486071659706847,0.05813138841665488
1024,8,0.1154047966003418,0.22804479598999022,0.19745536804199218,1.1549181886080337,0.1345264155570669
2048,4,0.11388928413391114,0.22908927917480468,0.21074079513549804,1.0870665977487144,0.0701176659504309
2048,8,0.1104793643951416,0.20774911880493163,0.1863545608520508,1.1148056578549008,0.1651595210868365
4096,4,0.10186752319335937,0.20753440856933594,0.19492864608764648,1.064668599175626,0.0917071896565691
4096,8,0.1034342384338379,0.2276246452331543,0.2072755241394043,1.0981742594946429,0.04117517021860517
8192,4,0.1122815990447998,0.20771839141845702,0.2063974380493164,1.006400047314662,0.08277586771294643
8192,8,0.11163647651672363,0.22518783569335937,0.22280191421508788,1.0107087117571538,0.007028102464188168
