block_size,warps,add_ms,serial_ms,concurrent_ms,stream_speedup,overlap_ratio
128,4,0.4229926300048828,0.4613734436035156,0.43491008758544925,1.060847878155659,0.019715373356732346
128,8,0.5007974243164063,0.5375385665893555,0.5134131240844727,1.0469903112584114,0.015434728073240644
256,4,0.43976577758789065,0.4517273712158203,0.43593727111816405,1.036221037162423,0.05319553736935867
256,8,0.42268798828125,0.4421836853027344,0.4423833465576172,0.999548669143094,0.002185534387927124
512,4,0.4248384094238281,0.4499251174926758,0.4688947296142578,0.9595439851985804,-0.05250697392815962
512,8,0.48099327087402344,0.5134745788574219,0.5016166305541992,1.0236394640467197,8.164993939174803e-05
1024,4,0.46495742797851564,0.4809523010253906,0.5229568099975586,0.9196788182711225,-0.07688095144626694
1024,8,0.4789247894287109,0.5279539108276368,0.4917657470703125,1.0735882154723355,0.01565959345978185
2048,4,0.4726393508911133,0.48268928527832033,0.5091532897949219,0.9480235028486984,-0.03212953774166549
2048,8,0.4800102233886719,0.5316960144042969,0.5194547271728516,1.0235656479594843,-0.03750976365865055
4096,4,0.4602880096435547,0.49612865447998045,0.4514201736450195,1.0990396164042904,0.061403499205367806
4096,8,0.46446590423583983,0.4928102493286133,0.4649983978271484,1.0598106394160163,0.04149777811266464
8192,4,0.45346817016601565,0.5053235244750977,0.5121228790283203,0.9867231970457491,-0.08012610327035974
8192,8,0.4547379302978516,0.4665958404541016,0.489246711730957,0.95370255796566,-0.029121573220566743
