repeat,policy,queue_ms
0,static_best_average,2.1826784133911135
0,load_aware,2.20579833984375
0,oracle_context,2.1780651092529295
0,static_best_isolated,2.179146385192871
0,resource_aware,2.200396728515625
1,static_best_average,2.184387969970703
1,resource_aware,2.177280044555664
1,load_aware,2.1946367263793944
1,static_best_isolated,2.182132339477539
1,oracle_context,2.4004095077514647
2,static_best_average,2.403980827331543
2,resource_aware,2.388915252685547
2,oracle_context,2.400448036193848
2,load_aware,2.2939775466918944
2,static_best_isolated,2.3590911865234374
3,resource_aware,2.3694976806640624
3,load_aware,2.3965427398681642
3,static_best_average,2.3629440307617187
3,oracle_context,2.256138038635254
3,static_best_isolated,2.2109043121337892
4,static_best_average,2.1976831436157225
4,load_aware,2.166374397277832
4,static_best_isolated,2.210099220275879
4,resource_aware,2.1748735427856447
4,oracle_context,2.174617958068848
