order_mode,block_m,block_d,block_q,warps,triton_fused_ms,triton_vs_flat_speedup,max_abs_diff_triton_vs_flat,relative_max_abs_diff_triton
clustered_segment,8,64,8,4,0.022159359455108642,1.3309843690370098,0.0,0.0
clustered_segment,16,64,8,4,0.02174976110458374,1.3560498858263914,0.0,0.0
clustered_segment,32,64,8,4,0.023265280723571778,1.2677156752611094,0.0,0.0
clustered_segment,16,128,8,4,0.02156543970108032,1.3676401442046453,0.0,0.0
clustered_segment,32,128,8,4,0.02185215950012207,1.349695487187768,0.0,0.0
clustered_segment,16,64,8,8,0.021566081047058105,1.3675994724431124,0.0,0.0
