order_mode,status,block_n,block_d,block_v,block_q,warps,num_n_blocks,num_v_blocks,num_q_blocks,triton_grouped_ms,triton_oneq_repeated_ms,triton_grouped_per_query_ms,grouped_vs_flat_speedup,oneq_repeated_vs_flat_speedup,grouped_vs_oneq_repeated_speedup,max_abs_diff_grouped_vs_flat,mean_abs_diff_grouped_vs_flat,relative_max_abs_diff_grouped,max_abs_diff_oneq_vs_flat,relative_max_abs_diff_oneq,error_type,error
random_sorted,ok,128,64,64,4,4,8,2,1,0.04513792037963867,0.07913472175598145,0.022568960189819336,3.2776769502312884,1.8695651911928797,1.7531760677144186,6.705522537231445e-08,1.981263153538748e-08,3.437591931712007e-07,6.705522537231445e-08,3.437591931712007e-07,,
random_sorted,ok,128,64,128,4,4,8,1,1,0.044177279472351075,0.0840499210357666,0.022088639736175537,3.3489504780916097,1.7602339108297225,1.9025599140474536,6.705522537231445e-08,1.981263153538748e-08,3.437591931712007e-07,7.450580596923828e-08,3.819546590791119e-07,,
random_sorted,failed,256,64,64,4,4,4,2,1,,,,,,,,,,,,OutOfResources,"out of resource: shared memory, Required: 133120, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
random_sorted,ok,128,128,64,4,4,8,2,1,0.04628479957580566,0.0812006378173828,0.02314239978790283,3.196460232422677,1.8219994963887505,1.7543694379488814,6.705522537231445e-08,1.981263153538748e-08,3.437591931712007e-07,6.332993507385254e-08,3.246614602172451e-07,,
random_sorted,ok,128,64,64,4,8,8,2,1,0.04511744022369385,0.08347647666931152,0.022558720111846925,3.279164785860807,1.7723258948242935,1.8502041839127445,6.705522537231445e-08,1.981263153538748e-08,3.437591931712007e-07,5.960464477539063e-08,3.055637272632895e-07,,
random_sorted,ok,64,64,64,4,4,16,2,1,0.047779841423034666,0.08572928428649902,0.023889920711517333,3.096442282003709,1.7257524361837713,1.7942563586066849,6.332993507385254e-08,1.934819238158525e-08,3.246614602172451e-07,6.705522537231445e-08,3.437591931712007e-07,,
