order_mode,block_m,block_d,block_q,warps,triton_fused_ms,triton_vs_flat_speedup,max_abs_diff_triton_vs_flat,relative_max_abs_diff_triton
random_shuffled,8,64,8,4,0.021872639656066895,1.3651686005635462,0.0,0.0
random_shuffled,16,64,8,4,0.02154047966003418,1.3862198679495972,0.0,0.0
random_shuffled,32,64,8,4,0.02140160083770752,1.3952152970395306,0.0,0.0
random_shuffled,16,128,8,4,0.021811199188232423,1.36901417534225,0.0,0.0
random_shuffled,32,128,8,4,0.02959359884262085,1.0089966086483295,0.0,0.0
random_shuffled,16,64,8,8,0.035594239234924316,0.8388953244042289,0.0,0.0
