order_mode,status,block_n,block_d,block_v,block_q,warps,num_n_blocks,num_v_blocks,num_q_blocks,triton_grouped_ms,triton_oneq_repeated_ms,triton_grouped_per_query_ms,grouped_vs_flat_speedup,oneq_repeated_vs_flat_speedup,grouped_vs_oneq_repeated_speedup,max_abs_diff_grouped_vs_flat,mean_abs_diff_grouped_vs_flat,relative_max_abs_diff_grouped,max_abs_diff_oneq_vs_flat,relative_max_abs_diff_oneq,error_type,error
random_segment,ok,128,64,64,4,4,4,2,1,0.05025919914245605,0.16068607330322265,0.012564799785614013,2.065643667366912,0.6460895726765187,3.1971475082157528,1.341104507446289e-07,2.289131373345299e-08,5.645968066781012e-07,7.450580596923828e-08,3.136648925989451e-07,,
random_segment,ok,128,64,128,4,4,4,1,1,0.04632319927215576,0.15966208457946776,0.01158079981803894,2.241157736658103,0.6502332517390771,3.4466981358828224,1.341104507446289e-07,2.289131373345299e-08,5.645968066781012e-07,8.568167686462402e-08,3.607146264887869e-07,,
random_segment,failed,256,64,64,4,4,2,2,1,,,,,,,,,,,,OutOfResources,"out of resource: shared memory, Required: 133120, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
random_segment,ok,128,128,64,4,4,4,2,1,0.04867584228515625,0.13264896392822265,0.012168960571289062,2.132836157767036,0.7826491316714946,2.7251498423207376,1.341104507446289e-07,2.289131373345299e-08,5.645968066781012e-07,7.450580596923828e-08,3.136648925989451e-07,,
random_segment,ok,128,64,64,4,8,4,2,1,0.03190783977508545,0.10776576042175293,0.007976959943771362,3.2536704824690332,0.963363465624383,3.3774069689888413,1.341104507446289e-07,2.289131373345299e-08,5.645968066781012e-07,7.450580596923828e-08,3.136648925989451e-07,,
random_segment,ok,64,64,64,4,4,8,2,1,0.033191680908203125,0.12210176467895507,0.008297920227050781,3.1278197908286405,0.8502546765684904,3.678685783243305,1.0058283805847168e-07,2.1966201302348054e-08,4.2344760500857593e-07,7.82310962677002e-08,3.293481372288924e-07,,
