order_mode,block_n,block_d,block_v,warps,triton_ssv_ms,triton_vs_flat_speedup,max_abs_diff_triton_vs_flat,mean_abs_diff_triton_vs_flat,relative_max_abs_diff_triton
random_sorted,256,32,32,4,0.029473280906677245,4.240249992112921,0.00018644332885742188,5.599906580755487e-05,0.0006454628941891729
random_sorted,256,64,32,4,0.02160640001296997,5.784123179107125,0.0002390742301940918,5.535546370083466e-05,0.0008276699707777405
random_sorted,256,64,64,4,0.021770238876342773,5.740592918706399,0.00023908913135528564,5.535540549317375e-05,0.0008277215582852684
random_sorted,256,64,128,4,0.022220799922943114,5.624193528831677,0.0002390742301940918,5.5356485972879454e-05,0.0008276699707777405
random_sorted,256,128,64,4,0.02219712018966675,5.630193379331175,0.00018331408500671387,5.921358388150111e-05,0.0006346295176083124
random_sorted,256,64,64,8,0.021608960628509522,5.783437772902277,0.0002390444278717041,5.535246600629762e-05,0.0008275667957626847
