order_mode,status,block_n,block_d,block_v,block_q,warps,num_n_blocks,num_v_blocks,num_q_blocks,triton_grouped_ms,triton_oneq_repeated_ms,triton_grouped_per_query_ms,grouped_vs_flat_speedup,oneq_repeated_vs_flat_speedup,grouped_vs_oneq_repeated_speedup,max_abs_diff_grouped_vs_flat,mean_abs_diff_grouped_vs_flat,relative_max_abs_diff_grouped,max_abs_diff_oneq_vs_flat,relative_max_abs_diff_oneq,error_type,error
random_segment,ok,128,64,64,4,4,8,2,2,0.031498239040374756,0.30500864028930663,0.0039372798800468446,3.2821846175994995,0.33895117056923113,9.683355310699863,9.685754776000977e-08,1.810206384789126e-08,4.3465180612202386e-07,8.940696716308594e-08,4.0121705180494514e-07,,
random_segment,ok,128,64,128,4,4,8,1,2,0.05015552043914795,0.3287449645996094,0.006269440054893494,2.061249385004813,0.3144779290709564,6.554512080050388,9.685754776000977e-08,1.810206384789126e-08,4.3465180612202386e-07,8.940696716308594e-08,4.0121705180494514e-07,,
random_segment,failed,256,64,64,4,4,4,2,2,,,,,,,,,,,,OutOfResources,"out of resource: shared memory, Required: 133120, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
random_segment,ok,128,128,64,4,4,8,2,2,0.03453183889389038,0.2610617637634277,0.004316479861736298,2.9938468083749026,0.3960098720296512,7.5600307462808365,9.685754776000977e-08,1.810206384789126e-08,4.3465180612202386e-07,6.332993507385254e-08,2.8419541169516946e-07,,
random_segment,ok,128,64,64,4,8,8,2,2,0.03446784019470215,0.2520473670959473,0.004308480024337769,2.999405680071606,0.4101730434677981,7.31253730063098,1.1175870895385742e-07,1.838535723663881e-08,5.015213147561814e-07,8.195638656616211e-08,3.6778229748786636e-07,,
random_segment,ok,64,64,64,4,4,16,2,2,0.03502079963684082,0.25325759887695315,0.004377599954605103,2.952046690305558,0.408212966237666,7.231633814852526,1.341104507446289e-07,1.845677388701006e-08,6.018255777074177e-07,7.450580596923828e-08,3.343475431707876e-07,,
